date,day_of_week,month,is_weekend,location,shelter_density,donor_activity_index,food_category,temperature_celsius,beneficiaries_count,historical_demand_lag1,historical_demand_lag7,meals_demanded
2025-01-01,2,1,0,Dwarka,5,1.87,BEVERAGES,14.8,43,38,36,82
2025-01-02,3,1,0,Karol Bagh,9,2.89,COOKED_MEALS,12.9,44,44,35,104
2025-01-03,4,1,0,Lajpat Nagar,8,3.86,BEVERAGES,17.4,43,42,39,112
2025-01-04,5,1,1,Lajpat Nagar,8,3.8,PRODUCE_FRUITS,14.8,42,47,39,119
2025-01-05,6,1,1,South Extension,6,2.75,PRODUCE_FRUITS,20.5,92,85,75,167
2025-01-06,0,1,0,Lodhi Colony,7,1.76,PRODUCE_FRUITS,20.3,94,104,88,147
2025-01-07,1,1,0,Lajpat Nagar,8,3.83,COOKED_MEALS,18.6,113,105,94,187
2025-01-08,2,1,0,Connaught Place,4,3.0,OTHER,15.6,62,59,66,105
2025-01-09,3,1,0,Dwarka,5,4.59,BEVERAGES,12.7,96,86,104,150
2025-01-10,4,1,0,Dwarka,5,3.77,BAKERY,18.8,113,122,100,170
2025-01-11,5,1,1,South Extension,6,4.16,DAIRY,14.7,42,47,43,120
2025-01-12,6,1,1,Lodhi Colony,7,2.81,BEVERAGES,16.6,48,42,52,123
2025-01-13,0,1,0,Karol Bagh,9,2.37,PACKAGED_FOOD,16.3,89,86,79,160
2025-01-14,1,1,0,South Extension,6,3.99,OTHER,13.1,95,85,101,148
2025-01-15,2,1,0,Karol Bagh,9,1.71,DAIRY,18.0,74,74,87,134
2025-01-16,3,1,0,Dwarka,5,1.88,PACKAGED_FOOD,19.5,113,117,95,156
2025-01-17,4,1,0,Lodhi Colony,7,2.02,COOKED_MEALS,21.5,107,99,107,178
2025-01-18,5,1,1,Rohini,7,3.56,OTHER,18.4,92,83,87,193
2025-01-19,6,1,1,Lajpat Nagar,8,3.28,OTHER,21.2,15,15,14,106
2025-01-20,0,1,0,Rohini,7,4.16,BAKERY,12.6,87,98,72,149
2025-01-21,1,1,0,Lodhi Colony,7,4.19,OTHER,17.3,31,27,30,81
2025-01-22,2,1,0,Rohini,7,3.5,BAKERY,21.3,111,118,97,168
2025-01-23,3,1,0,Connaught Place,4,2.82,BEVERAGES,18.5,71,79,69,111
2025-01-24,4,1,0,South Extension,6,3.44,BAKERY,17.9,15,13,15,66
2025-01-25,5,1,1,Lajpat Nagar,8,1.72,COOKED_MEALS,20.6,24,24,21,105
2025-01-26,6,1,1,Dwarka,5,4.59,PACKAGED_FOOD,17.8,46,49,51,124
2025-01-27,0,1,0,Lajpat Nagar,8,1.81,BEVERAGES,16.3,69,67,79,134
2025-01-28,1,1,0,Dwarka,5,1.82,DAIRY,19.3,117,129,105,165
2025-01-29,2,1,0,Lajpat Nagar,8,3.27,BAKERY,16.2,50,49,57,121
2025-01-30,3,1,0,Rohini,7,3.32,COOKED_MEALS,18.5,84,92,99,157
2025-01-31,4,1,0,Rohini,7,4.3,BAKERY,16.1,76,69,72,141
2025-02-01,5,2,1,Lodhi Colony,7,2.38,OTHER,19.9,51,49,60,133
